No,Type,Name,Level,Region,Formula1,Formula2
1,Two tables,Main Baby Food Producers Performance,Company,Ukraine,"""Volume"", ""Company"", 11, ""VALUEC > 0""","""Value"", ""Company"", 11, ""VALUEC > 0"""
2,Table & Chart,Producers Volume Share: IMF + Dry Food + Puree,Company,Ukraine,"""Volume"", ""Company"", 11, 'PS0 == ""IMF"" | PS2 == ""Dry Food"" | PS3 == ""Savoury Meal"" | PS3 == ""Fruits""'","""Volume"", ""Company"", 11, 'PS0 == ""IMF"" | PS2 == ""Dry Food"" | PS3 == ""Savoury Meal"" | PS3 == ""Fruits""'"
3,Table & Chart,Brands Volume Share: IMF + Dry Food + Puree,Brand,Ukraine,"""Volume"", ""Brand"", 11, 'PS0 == ""IMF"" | PS2 == ""Dry Food"" | PS3 == ""Savoury Meal"" | PS3 == ""Fruits""'","""Volume"", ""Brand"", 11, 'PS0 == ""IMF"" | PS2 == ""Dry Food"" | PS3 == ""Savoury Meal"" | PS3 == ""Fruits""'"
4,Table & Chart,Producers Volume Share: IMF + Dry Food,Company,Ukraine,"""Volume"", ""Company"", 11, 'PS0 == ""IMF"" | PS2 == ""Dry Food""'","""Volume"", ""Company"", 11, 'PS0 == ""IMF"" | PS2 == ""Dry Food""'"
5,Table & Chart,Brands Volume Share: IMF + Dry Food,Brand,Ukraine,"""Volume"", ""Brand"", 11, 'PS0 == ""IMF"" | PS2 == ""Dry Food""'","""Volume"", ""Brand"", 11, 'PS0 == ""IMF"" | PS2 == ""Dry Food""'"
6,Table & Chart,Brands Value Share: IMF + Dry Food,Brand,Ukraine,"""Value"", ""Brand"", 11, 'PS0 == ""IMF"" | PS2 == ""Dry Food""'","""Value"", ""Brand"", 11, 'PS0 == ""IMF"" | PS2 == ""Dry Food""'"
7,Two charts 1,Specials / Plus / Base IF / Base FO / Base Gum segments,IMFSegment,Ukraine,"""Volume"", ""IMFSegment"", 9, 'PS0 == ""IMF""'","""Value"", ""IMFSegment"", 9, 'PS0 == ""IMF""'"
8,Two charts 2,Price Segments: IMF,PriceSegment,Ukraine,"""Volume"", ""PriceSegment"", 3, 'PS0 == ""IMF""'","""Value"", ""PriceSegment"", 3, 'PS0 == ""IMF""'"
9,Price Segment,Price segments in absolute volume IMF,PriceSegmentAbs,Ukraine,"""Volume"", ""PriceSegment"", 3, 'PS0 == ""IMF""'","""Volume"", ""PriceSegment"", 3, 'PS0 == ""IMF""'"
10,Table & Chart,Producers Volume Share: IMF,Company,Ukraine,"""Volume"", ""Company"", 11, 'PS0 == ""IMF""'","""Volume"", ""Company"", 11, 'PS0 == ""IMF""'"
11,Table & Chart,Producers Value Share: IMF,Company,Ukraine,"""Value"", ""Company"", 11, 'PS0 == ""IMF""'","""Value"", ""Company"", 11, 'PS0 == ""IMF""'"
12,Table & Chart,Brands Volume Share: IMF,Brand,Ukraine,"""Volume"", ""Brand"", 11, 'PS0 == ""IMF""'","""Volume"", ""Brand"", 11, 'PS0 == ""IMF""'"
13,Table & Chart,Brands Value Share: IMF,Brand,Ukraine,"""Value"", ""Brand"", 11, 'PS0 == ""IMF""'","""Value"", ""Brand"", 11, 'PS0 == ""IMF""'"
14,Table & Chart,Brands Volume Share: Premium IMF,Brand,Ukraine,"""Volume"", ""Brand"", 11, 'PS0 == ""IMF"" &  PriceSegment == ""Premium""'","""Volume"", ""Brand"", 11, 'PS0 == ""IMF"" &  PriceSegment == ""Premium""'"
15,Table & Chart,Brands Value Share: Premium IMF,Brand,Ukraine,"""Value"", ""Brand"", 11, 'PS0 == ""IMF"" &  PriceSegment == ""Premium""'","""Value"", ""Brand"", 11, 'PS0 == ""IMF"" &  PriceSegment == ""Premium""'"
16,Table & Chart,Brands Volume Share: Mainstream IMF,Brand,Ukraine,"""Volume"", ""Brand"", 11, 'PS0 == ""IMF"" &  PriceSegment == ""Mainstream""'","""Volume"", ""Brand"", 11, 'PS0 == ""IMF"" &  PriceSegment == ""Mainstream""'"
17,Table & Chart,Brands Value Share: Mainstream IMF,Brand,Ukraine,"""Value"", ""Brand"", 11, 'PS0 == ""IMF"" &  PriceSegment == ""Mainstream""'","""Value"", ""Brand"", 11, 'PS0 == ""IMF"" &  PriceSegment == ""Mainstream""'"
18,Two charts 2,Price Segments: Base IF,PriceSegment,Ukraine,"""Volume"", ""PriceSegment"", 3, 'PS2 == ""IF"" & PS3 == ""Base""'","""Value"", ""PriceSegment"", 3, 'PS2 == ""IF"" & PS3 == ""Base""'"
19,Price Segment,Price segments in absolute volume: Base IF,PriceSegmentAbs,Ukraine,"""Volume"", ""PriceSegment"", 3, 'PS2 == ""IF"" & PS3 == ""Base""'","""Volume"", ""PriceSegment"", 3, 'PS2 == ""IF"" & PS3 == ""Base""'"
20,Table & Chart,Producers Volume Share: Base IF,Company,Ukraine,"""Volume"", ""Company"", 10, 'PS2 == ""IF"" & PS3 == ""Base""'","""Volume"", ""Company"", 10, 'PS2 == ""IF"" & PS3 == ""Base""'"
21,Table & Chart,Producers Value Share: Base IF,Company,Ukraine,"""Value"", ""Company"", 10, 'PS2 == ""IF"" & PS3 == ""Base""'","""Value"", ""Company"", 10, 'PS2 == ""IF"" & PS3 == ""Base""'"
22,Table & Chart,Brands Volume Share: Base IF,Brand,Ukraine,"""Volume"", ""Brand"", 10, 'PS2 == ""IF"" & PS3 == ""Base""'","""Volume"", ""Brand"", 10, 'PS2 == ""IF"" & PS3 == ""Base""'"
23,Table & Chart,Brands Value Share: Base IF,Brand,Ukraine,"""Value"", ""Brand"", 10, 'PS2 == ""IF"" & PS3 == ""Base""'","""Value"", ""Brand"", 10, 'PS2 == ""IF"" & PS3 == ""Base""'"
24,Table & Chart,Brands Volume Share: Premium Base IF,Brand,Ukraine,"""Volume"", ""Brand"", 11, 'PS2 == ""IF"" &  PriceSegment == ""Premium""'","""Volume"", ""Brand"", 11, 'PS2 == ""IF"" &  PriceSegment == ""Premium""'"
25,Table & Chart,Brands Value Share: Premium Base IF,Brand,Ukraine,"""Value"", ""Brand"", 11, 'PS2 == ""IF"" &  PriceSegment == ""Premium""'","""Value"", ""Brand"", 11, 'PS2 == ""IF"" &  PriceSegment == ""Premium""'"
26,Table & Chart,Brands Volume Share: Mainstream Base IF,Brand,Ukraine,"""Volume"", ""Brand"", 11, 'PS2 == ""IF"" &  PriceSegment == ""Mainstream""'","""Volume"", ""Brand"", 11, 'PS2 == ""IF"" &  PriceSegment == ""Mainstream""'"
27,Table & Chart,Brands Value Share: Mainstream Base IF,Brand,Ukraine,"""Value"", ""Brand"", 11, 'PS2 == ""IF"" &  PriceSegment == ""Mainstream""'","""Value"", ""Brand"", 11, 'PS2 == ""IF"" &  PriceSegment == ""Mainstream""'"
28,Two charts 1,Price Segments: Base FO,PriceSegment,Ukraine,"""Volume"", ""PriceSegment"", 3, 'PS2 == ""FO"" & PS3 == ""Base""'","""Value"", ""PriceSegment"", 3, 'PS2 == ""FO"" & PS3 == ""Base""'"
29,Price Segment,Price segments in absolute volume: Base FO,PriceSegmentAbs,Ukraine,"""Volume"", ""PriceSegment"", 3, 'PS2 == ""FO"" & PS3 == ""Base""'","""Volume"", ""PriceSegment"", 3, 'PS2 == ""FO"" & PS3 == ""Base""'"
30,Table & Chart,Producers Volume Share: Base FO,Company,Ukraine,"""Volume"", ""Company"", 10, 'PS2 == ""FO"" & PS3 == ""Base""'","""Volume"", ""Company"", 10, 'PS2 == ""FO"" & PS3 == ""Base""'"
31,Table & Chart,Producers Value Share: Base FO,Company,Ukraine,"""Value"", ""Company"", 10, 'PS2 == ""FO"" & PS3 == ""Base""'","""Value"", ""Company"", 10, 'PS2 == ""FO"" & PS3 == ""Base""'"
32,Table & Chart,Brands Volume Share: Base FO,Brand,Ukraine,"""Volume"", ""Brand"", 10, 'PS2 == ""FO"" & PS3 == ""Base""'","""Volume"", ""Brand"", 10, 'PS2 == ""FO"" & PS3 == ""Base""'"
33,Table & Chart,Brands Value Share: Base FO,Brand,Ukraine,"""Value"", ""Brand"", 10, 'PS2 == ""FO"" & PS3 == ""Base""'","""Value"", ""Brand"", 10, 'PS2 == ""FO"" & PS3 == ""Base""'"
34,Table & Chart,Brands Volume Share: Premium Base FO,Brand,Ukraine,"""Volume"", ""Brand"", 11, 'PS2 == ""FO"" &  PriceSegment == ""Premium""'","""Volume"", ""Brand"", 11, 'PS2 == ""FO"" &  PriceSegment == ""Premium""'"
